SampleID,Season,Plot,Nitrate concentration (mg N-NO3/L) Day 1,Ammonium concentration (mg N-NH4/L) Day 1,Nitrate concentration (mg N-NO3/L) Day 30, Ammonium concentration (mg N-NH4/L) Day 30,Day 1 NO3 (ug N),Day 1 NH4 (ug N),Day 30 NO3 (ug N),Day 30 NH4 (ug N),Actual dry weight mass for day 0 samples (g),Actual dry weight mass for day 30 samples (g),Day 1 NO3 (ug N g dry weight soil-1),Day 1 NH4 (ug N g dry weight soil-1),Day 30 NO3 (ug N g dry weight soil-1),Day 30 NH4 (ug N g dry weight soil-1),Net_N_Mineralization (ug N g-1 day-1),Net_Nitrification (ug N g-1 day-1),Net_Ammonification (ug N g-1 day-1)
J23,June,23,0.749080744,0.683246778,2.114454733,2.488935294,18.72701861,17.08116944,52.86136833,62.22338236,6.014851612,6.004458618,0.354266626,0.274513676,8.788474221,10.36286305,0.882026522,0.401628933,0.480397589
J24,June,24,0.359621244,0.445093494,0.9279234,1.222225261,8.990531111,11.12733736,23.198085,30.55563153,6.031257321,5.882987222,0.387554883,0.364166499,3.846309943,5.193897314,0.394689804,0.164702622,0.229987182
J25,June,25,0.567661811,0.774674044,1.457103167,1.688209394,14.19154528,19.36685111,36.42757917,42.20523486,5.972806445,5.963533026,0.389582443,0.458873198,6.098905013,7.077219943,0.587031872,0.271872503,0.315159369
J26,June,26,1.757015094,0.774674044,4.447130033,0.723799194,43.92537736,19.36685111,111.1782508,18.09497986,6.03775611,6.006372966,0.39508966,1.070288625,18.413836,3.012630079,0.95052799,0.85803554,0.09249245
J27,June,27,0.465739644,0.644906311,1.123256883,0.418550094,11.64349111,16.12265778,28.08142208,10.46375236,5.990811241,5.944313727,0.414633243,1.540810335,4.687415603,1.760296115,0.21391753,0.203465827,0.010451704
J28,June,28,0.893812744,0.597718044,2.740137083,0.729697728,22.34531861,14.94295111,68.50342708,18.24244319,6.014518751,6.017826501,0.326192711,0.819131021,11.3896772,3.031400655,0.632178768,0.526832595,0.105346173
J29,June,29,1.219963678,0.876423744,3.589771583,1.102779961,30.49909194,21.91059361,89.74428958,27.56949903,5.991302594,5.994517732,0.339844374,0.794740361,14.97909481,4.599118772,0.87826804,0.697107164,0.181160877
J30,June,30,0.827955344,0.661127278,1.4897154,1.398443944,20.69888361,16.52818194,37.242885,34.96109861,6.010215334,6.025274486,0.555780886,0.472759227,6.196597448,5.802407623,0.522403093,0.268610312,0.253792781
S1,Sept,1,0.257191211,0.597718044,1.563522033,1.889496844,6.429780278,14.94295111,39.08805083,47.23742111,6.029572098,6.014155317,0.164494779,0.316337149,6.482723848,7.854373328,0.659822155,0.300868051,0.358954104
S2,Sept,2,0.368521578,0.653016794,1.810688433,1.359366161,9.213039444,16.32541986,45.26721083,33.98415403,6.021061369,5.996350094,0.203525671,0.480383294,7.518144735,5.667473295,0.595319479,0.348315194,0.247004286
S3,Sept,3,0.232102678,0.653754111,2.351364933,2.020001894,5.802566944,16.34385278,58.78412333,50.50004736,5.999895861,6.001064945,0.098709764,0.323640346,9.79752394,8.415180943,0.847159751,0.461848294,0.385311457
S4,Sept,4,0.285415811,0.625736078,1.573820633,1.896132694,7.135395278,15.64340194,39.34551583,47.40331736,5.982363319,5.982210725,0.181352185,0.330006481,6.576918474,7.924046734,0.66617174,0.304550776,0.361620964
S5,Sept,5,0.415562578,0.664076544,3.044804,3.785137994,10.38906444,16.60191361,76.1201,94.62844986,6.022928914,5.996712595,0.136482538,0.175443153,12.63838592,15.78005422,1.33840545,0.595328733,0.743076717
S6,Sept,6,0.214854311,0.355878178,1.549790567,1.037896094,5.371357778,8.896954444,38.74476417,25.94740236,5.998453917,6.000286046,0.138634417,0.342884206,6.459125085,4.324360899,0.490569874,0.300975746,0.189594128
S7,Sept,7,0.403018311,0.441406911,2.729838483,0.611727061,10.07545778,11.03517278,68.24596208,15.29317653,6.020677232,5.978550578,0.14763449,0.72157493,11.33526337,2.558007385,0.620193397,0.532744232,0.087449165
S8,Sept,8,0.564525744,0.413388878,3.4515987,0.577810494,14.11314361,10.33472194,86.2899675,14.44526236,6.01236565,5.970527657,0.163554861,0.715440238,14.35208245,2.419428096,0.75678645,0.675644171,0.081142279
S9,Sept,9,0.628031094,1.022412444,3.509957433,2.513266744,15.70077736,25.56031111,87.74893583,62.83166861,6.005901333,5.998706393,0.178928408,0.40680618,14.61045245,10.47420302,1.16661528,0.68721543,0.479399849
S10,Sept,10,0.351273211,0.795318911,1.864756083,1.867377344,8.781830278,19.88297278,46.61890208,46.68443361,6.012905162,5.97131288,0.188374884,0.425901553,7.75314109,7.81811882,0.712237308,0.360226962,0.352010346
S11,Sept,11,0.202310044,0.680297511,1.311206333,1.716964744,5.057751111,17.00743778,32.78015833,42.92411861,6.006183733,6.000166364,0.154293065,0.396221013,5.45773486,7.153821412,0.574335343,0.252544847,0.321790495
S12,Sept,12,0.493964244,0.730435044,2.684353,2.295758328,12.34910611,18.26087611,67.108825,57.39395819,6.010914004,6.000543412,0.184016128,0.31816722,11.16449594,9.564793428,0.963195525,0.522879991,0.440315534
S13,Sept,13,0.664879878,1.038633411,4.647952733,2.255943228,16.62199694,25.96583528,116.1988183,56.39858069,5.99652074,6.004515998,0.1430479,0.460398736,19.3777064,9.392693884,1.341283507,0.915936119,0.425347388
S14,Sept,14,0.551981478,0.842507178,3.553726483,1.871063928,13.79953694,21.06267944,88.84316208,46.77659819,5.998493547,5.997813154,0.155324694,0.450282412,14.81091234,7.798942213,1.047821307,0.697885126,0.349936181
S15,Sept,15,0.261895311,0.626473394,1.939420933,1.590883594,6.547382778,15.66183486,48.48552333,39.77208986,5.984876121,5.981372238,0.13503789,0.393789588,8.101341173,6.649325318,0.677230429,0.379347775,0.297882654
S16,Sept,16,0.056482944,0.821862311,0.561124967,1.161765294,1.412073611,20.54655778,14.02812417,29.04413236,5.988498054,6.002139813,0.100660188,0.707425428,2.342511267,4.838962981,0.303494697,0.106754813,0.196739883
S17,Sept,17,0.042924544,0.736333578,0.815479267,0.995131728,1.073113611,18.40833944,20.38698167,24.87829319,6.006424985,6.00211279,0.052637199,0.739935787,3.394195668,4.14492264,0.321264063,0.159121832,0.162142231
S18,Sept,18,-0.039205056,0.571174644,0.339301833,0.700205061,-0.980126389,14.27936611,8.482545833,17.50512653,6.004166394,6.020320405,-0.115546253,0.815724816,1.412776608,2.907673571,0.172393886,0.072777279,0.099616607
S19,Sept,19,-0.058270856,0.564538794,0.496965933,1.036421461,-1.456771389,14.11346986,12.42414833,25.91053653,5.998472595,6.007587876,-0.117253219,0.544700024,2.071218654,4.312968377,0.283654296,0.104212946,0.17944135
S20,Sept,20,0.214516744,1.060015594,2.835650083,0.896331294,5.362918611,26.50038986,70.89125208,22.40828236,6.000334452,6.006160019,0.075649935,1.182615849,11.81455011,3.730883341,0.680341318,0.558995247,0.121346071
S21,Sept,21,0.158785944,1.261303044,2.565710033,1.304804728,3.969648611,31.53257611,64.14275083,32.62011819,5.995991019,5.9981331,0.06188772,0.966660388,10.69760622,5.438378517,0.719401744,0.506462786,0.212938959
S22,Sept,22,0.257048144,0.814489144,2.035385333,0.539470028,6.426203611,20.36222861,50.88463333,13.48675069,6.001233586,5.744875418,0.126289671,1.509794989,8.479028954,2.347614128,0.437645639,0.39774949,0.039896149
S23,Sept,23,0.242382144,0.631634611,1.694576067,1.399181261,6.059553611,15.79086528,42.36440167,34.97953153,6.009903323,6.020504425,0.143034089,0.451431583,7.049098694,5.810066575,0.584033314,0.328860219,0.255173095
S24,Sept,24,0.447706144,0.696518478,2.835650083,0.566750744,11.19265361,17.41296194,70.89125208,14.16876861,6.000372252,5.991119201,0.157884835,1.22896791,11.81447569,2.364961894,0.609170706,0.555075755,0.054094952
S25,Sept,25,0.192517744,1.186096744,1.2725459,1.467014394,4.812943611,29.65241861,31.8136475,36.67535986,6.000960601,5.996671629,0.151285501,0.808510638,5.301425824,6.11595267,0.497980112,0.245244777,0.252735335
S26,Sept,26,0.195450944,1.179460894,1.404728933,1.743508144,4.886273611,29.48652236,35.11822333,43.58770361,6.006992793,5.98395798,0.139137836,0.676487172,5.84622365,7.284092528,0.586413865,0.271765991,0.314647874
S27,Sept,27,0.215983344,0.954579311,2.126161633,0.306477961,5.399583611,23.86448278,53.15404083,7.661949028,6.014011976,5.969757135,0.10158369,3.114675221,8.838366309,1.28346076,0.328836579,0.416037268,-0.087200689
S28,Sept,28,0.170518744,0.573386594,1.218398633,0.322698928,4.262968611,14.33466486,30.45996583,8.067473194,6.024295783,5.998205122,0.139953165,1.776846915,5.056186969,1.344981212,0.213541338,0.234106372,-0.020565034
S29,Sept,29,0.097188744,0.618362911,0.774072533,0.566750744,2.429718611,15.45907278,19.35181333,14.16876861,6.005854297,5.988406568,0.125555087,1.091066782,3.22215831,2.366033176,0.208169982,0.147457296,0.060712685
S30,Sept,30,0.183718144,0.606565844,0.925366367,0.748867961,4.592953611,15.16414611,23.13415917,18.72169903,6.000993331,6.008042726,0.198535576,0.809977027,3.85505497,3.116106173,0.283935645,0.174119971,0.109815674
